data_hora,id_empresa,id_display,id_zona,total_disco,disco_usado,disco_livre,disco_percentual,processador_nome,nucleos_fiscos,nucleos_totais,frequencia_min,frequencia_max,frequencia_atual,cpu_percentual,ram_total,ram_disponivel,ram_percentual,upload,download,errin,dropin,mtu,latencia,conn_established,conn_listen,conn_time_wait,conn_close_wait,conn_syn_sent,mac,ip,boot_time,temperatura_atual,temperatura_alta,temperatura_critica
27-05-2026 22:18:29,2,2,1,493895020544,435177029632,58717990912,88.1,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1801.0,1801.0,11.5,16483872768,3376312320,79.5,1007045936,5486172856,0,0,1500,5.0,29,34,30,3,0,E0-2B-E9-6D-2E-C3,192.168.100.34,"5, 22, 9",25.05,80,100
27-05-2026 22:19:33,2,2,1,493895020544,435177992192,58717028352,88.1,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1801.0,1801.0,5.9,16483872768,3542188032,78.5,1007146566,5486259285,0,0,1500,6.0,28,34,23,4,0,E0-2B-E9-6D-2E-C3,192.168.100.34,"5, 22, 10",25.05,80,100
27-05-2026 22:20:37,2,2,1,493895020544,435177656320,58717364224,88.1,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1801.0,1801.0,5.5,16483872768,3779506176,77.1,1007274412,5486435758,0,0,1500,6.0,29,34,30,3,0,E0-2B-E9-6D-2E-C3,192.168.100.34,"5, 22, 11",25.05,80,100
27-05-2026 22:21:41,2,2,1,493895020544,435177484288,58717536256,88.1,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1801.0,1801.0,3.8,16483872768,3207372800,80.5,1007355821,5486605746,0,0,1500,6.0,32,34,19,1,0,E0-2B-E9-6D-2E-C3,192.168.100.34,"5, 22, 12",25.05,80,100
27-05-2026 22:22:45,2,2,1,493895020544,435178024960,58716995584,88.1,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1801.0,1801.0,4.4,16483872768,3337949184,79.8,1007440601,5486693282,0,0,1500,6.0,28,34,24,4,0,E0-2B-E9-6D-2E-C3,192.168.100.34,"5, 22, 13",25.05,80,100
